BrightnessMore	False	False	False
BroadcastEdit	False	False	False
BroadcastEnd	False	False	False
BroadcastNotes	False	False	False
BroadcastNotesSplitButton	False	False	False
BroadcastResume	False	False	False
BroadcastSendInvitation	False	False	False
BroadcastSlideShowBackstage	True	True	True
BroadcastSlideShowGeneric	False	False	False
BrowseNext	True	True	True
BrowsePrevious	True	True	True
BuildingBlockProperties	False	False	False
BuildingBlocksOrganizer	True	True	True
BulletDefineNew	True	True	True
BulletListDefault	True	True	True
Bullets	True	True	True
BulletsAndNumberingBulletsDialog	True	True	True
BulletsAndNumberingClassic	True	True	True
BulletsGalleryWord	True	True	True
ButtonAddinDisabled	False	False	False
ButtonCategoryCloudServices			
ButtonCategoryLocalServices			
ButtonCategoryRecentDocuments			
ButtonGroupCloudServices			
ButtonGroupItemSaveCloudServices			
ButtonGroupItemSaveLocalServices			
ButtonGroupLocalServices			
ButtonGroupRecentDocuments			
ButtonGroupsSave			
ButtonOpenBrowse			
ButtonTaskDynamicServiceProvider			
ButtonTaskFixItHub			
ButtonTaskRecentDocuments			
ButtonTaskSharedWithMe			
Calculate	False	True	False
Callout	True	True	True
CalloutOptions	False	False	False
Cancel	True	True	True
CaptionInsert	True	True	True
CaptionInsertWord	True	True	True
CellsDelete	False	False	True
CellsInsertDialog	False	False	True
ChangeCase	True	True	True
ChangeCaseDialogClassic	True	True	True
ChangeCaseGallery	True	True	True
ChangeIcon	False	False	False
ChangeStylesMenu	True	True	True
CharacterBorder	True	True	True
CharacterCodeToggle	True	True	True
CharacterFormattingReset	True	True	True
CharacterLeft	True	True	True
CharacterLeftExtend	True	True	True
CharacterRight	True	True	True
CharacterRightExtend	True	True	True
CharacterShading	True	True	True
Chart3DView	False	False	False
ChartAddAxis	False	False	False
ChartAxes	False	False	False
ChartAxesGallery	False	False	False
ChartAxesOptionsDialog	False	False	False
ChartAxesTitlesOptionsDialog	False	False	False
ChartAxisTitles	False	False	False
ChartAxisTitlesGallery	False	False	False
ChartCalloutDataLabelAdd	True	True	True
ChartCalloutDataLabelsAdd	True	True	True
ChartChangeDataLabelShapeGallery	False	False	False
ChartChangeDataLabelShapesGallery	False	False	False
ChartChangeType	False	False	False
ChartColorsGallery	False	False	False
ChartDataLabel	False	False	False
ChartDataLabelAdd	True	True	True
ChartDataLabelDialog	False	False	False
ChartDataLabelsAdd	True	True	True
ChartDataTable	False	False	False
ChartDataTableOptionsDialog	False	False	False
ChartDelete	False	False	False
ChartDeleteSeries	False	False	False
ChartDepthAxis	False	False	False
ChartDepthAxisOptionsDialog	True	True	True
ChartDepthAxisTitle	False	False	False
ChartDepthAxisTitleOptionsDialog	True	True	True
ChartDepthGridlines	False	False	False
ChartDepthGridlinesOptionsDialog	True	True	True
ChartEditDataMenu	False	False	False
ChartEditDataSource	False	False	False
ChartEditText	False	False	False
ChartElementSelector	False	False	False
ChartErrorBars	False	False	False
ChartErrorBarsOptionsDialog	False	False	False
ChartExitEditText	False	False	False
ChartFloor	False	False	False
ChartFloorOptionsDialog	False	False	False
ChartFormatAxis	False	False	False
ChartFormatAxisAndSelect	False	False	False
ChartFormatAxisTitle	False	False	False
ChartFormatBackWall	False	False	False
ChartFormatChartArea	False	False	False
ChartFormatChartTitle	False	False	False
ChartFormatDataLabel	False	False	False
ChartFormatDataLabelAndSelect	False	False	False
ChartFormatDataLabels	False	False	False
ChartFormatDataLabelsAndSelect	False	False	False
ChartFormatDataPoint	False	False	False
ChartFormatDataPointAndSelect	False	False	False
ChartFormatDataSeries	True	True	True
ChartFormatDataSeriesAndSelect	False	False	False
ChartFormatDataTable	False	False	False
ChartFormatDisplayUnit	False	False	False
ChartFormatDownBars	False	False	False
ChartFormatDropLines	False	False	False
ChartFormatErrorBars	False	False	False
ChartFormatFloor	False	False	False
ChartFormatGridlines	False	False	False
ChartFormatHighLowLine	False	False	False
ChartFormatLeaderLines	False	False	False
ChartFormatLegend	False	False	False
ChartFormatLegendEntry	False	False	False
ChartFormatMajorGridlinesAndSelect	False	False	False
ChartFormatMinorGridlinesAndSelect	False	False	False
ChartFormatParetoLine	True	True	True
ChartFormatPlotArea	False	False	False
ChartFormatSelection	False	False	False
ChartFormatSeriesLine	False	False	False
ChartFormatSideWall	False	False	False
ChartFormatTrendline	False	False	False
ChartFormatTrendlineAndSelect	False	False	False
ChartFormatTrendlineLabel	False	False	False
ChartFormatUpBars	False	False	False
ChartFormatWalls	False	False	False
ChartGridlineOptionsDialog	False	False	False
ChartGridlines	False	False	False
ChartGridlinesGallery	False	False	False
ChartInsert	True	True	True
ChartInsertDataField	False	False	False
ChartLayoutGallery	False	False	False
ChartLegend	False	False	False
ChartLegendOptionsDialogDialog	False	False	False
ChartLines	False	False	False
ChartMajorGridlinesAdd	False	False	False
