BroadcastEdit	Edit	False
BroadcastEnd	End Online Presentation	False
BroadcastNotes	Share Meeting Notes	False
BroadcastNotesSplitButton	Share Meeting Notes	False
BroadcastResume	Resume Online Presentation	False
BroadcastSendInvitation	Send Invitations	False
BroadcastSlideShowBackstage	Present Online	True
BroadcastSlideShowGeneric	More Services...	False
BrowseNext	Next	True
BrowsePrevious	Previous	True
BuildingBlockProperties	Properties	False
BuildingBlocksOrganizer	Building Blocks Organizer...	True
BulletDefineNew	Define New Bullet...	True
BulletListDefault	Tools Bullet List Default	True
Bullets	Bullets	True
BulletsAndNumberingBulletsDialog	Bullets and Numbering...	True
BulletsAndNumberingClassic	Tools Bullets Numbers	True
BulletsGalleryWord	Bullets	True
ButtonAddinDisabled	Manage COM Add-ins	False
ButtonCategoryCloudServices		
ButtonCategoryLocalServices		
ButtonCategoryRecentDocuments		
ButtonGroupCloudServices		
ButtonGroupItemSaveCloudServices		
ButtonGroupItemSaveLocalServices		
ButtonGroupLocalServices		
ButtonGroupRecentDocuments		
ButtonGroupsSave		
ButtonOpenBrowse		
ButtonTaskDynamicServiceProvider		
ButtonTaskFixItHub		
ButtonTaskRecentDocuments		
ButtonTaskSharedWithMe		
Calculate	Tools Calculate	False
Callout	Callout	True
CalloutOptions	Callout Options	False
Cancel	Cancel	True
CaptionInsert	Insert Caption...	True
CaptionInsertWord	Insert Add Caption	True
CellsDelete	Delete Cells...	False
CellsInsertDialog	Insert Cells...	False
ChangeCase	Change Case	True
ChangeCaseDialogClassic	Change Case...	True
ChangeCaseGallery	Change Case	True
ChangeIcon	From Icons...	False
ChangeStylesMenu	Change Styles	True
CharacterBorder	Character Border	True
CharacterCodeToggle	Toggle Character Code	True
CharacterFormattingReset	Reset Character Formatting	True
CharacterLeft	Char Left	True
CharacterLeftExtend	Char Left Extend	True
CharacterRight	Char Right	True
CharacterRightExtend	Char Right Extend	True
CharacterShading	Character Shading	True
Chart3DView	3-D Rotation...	False
ChartAddAxis	Add Axis	False
ChartAxes	Axes	False
ChartAxesGallery	Axes	False
ChartAxesOptionsDialog	More Axis Options...	False
ChartAxesTitlesOptionsDialog	More Axis Title Options...	False
ChartAxisTitles	Axis Titles	False
ChartAxisTitlesGallery	Axis Titles	False
ChartCalloutDataLabelAdd	Add Data Callout	True
ChartCalloutDataLabelsAdd	Add Data Callouts	True
ChartChangeDataLabelShapeGallery	Change Data Label Shape	False
ChartChangeDataLabelShapesGallery	Change Data Label Shapes	False
ChartChangeType	Change Chart Type...	False
ChartColorsGallery	Change Colors	False
ChartDataLabel	Data Labels	False
ChartDataLabelAdd	Add Data Label	True
ChartDataLabelDialog	More Data Label Options...	False
ChartDataLabelsAdd	Add Data Labels	True
ChartDataTable	Data Table	False
ChartDataTableOptionsDialog	More Data Table Options...	False
ChartDelete	Delete	False
ChartDeleteSeries	Delete Series	False
ChartDepthAxis	Depth Axis	False
ChartDepthAxisOptionsDialog	More Depth Axis Options...	True
ChartDepthAxisTitle	Depth Axis Title	False
ChartDepthAxisTitleOptionsDialog	More Depth Axis Title Options...	True
ChartDepthGridlines	Depth Gridlines	False
ChartDepthGridlinesOptionsDialog	More Depth Gridlines Options...	True
ChartEditDataMenu	Edit Data...	False
ChartEditDataSource	Select Data...	False
ChartEditText	Edit Text	False
ChartElementSelector	Chart Elements	False
ChartErrorBars	Error Bars	False
ChartErrorBarsOptionsDialog	More Error Bars Options...	False
ChartExitEditText	Exit Edit Text	False
ChartFloor	Chart Floor	False
ChartFloorOptionsDialog	More Floor Options...	False
ChartFormatAxis	Format Axis...	False
ChartFormatAxisAndSelect	Format Axis...	False
ChartFormatAxisTitle	Format Axis Title...	False
ChartFormatBackWall	Format Back Wall...	False
ChartFormatChartArea	Format Chart Area...	False
ChartFormatChartTitle	Format Chart Title...	False
ChartFormatDataLabel	Format Data Label...	False
ChartFormatDataLabelAndSelect	Format Data Label...	False
ChartFormatDataLabels	Format Data Labels...	False
ChartFormatDataLabelsAndSelect	Format Data Labels...	False
ChartFormatDataPoint	Format Data Point...	False
ChartFormatDataPointAndSelect	Format Data Point...	False
ChartFormatDataSeries	Format Data Series...	True
ChartFormatDataSeriesAndSelect	Format Data Series...	False
ChartFormatDataTable	Format Data Table...	False
ChartFormatDisplayUnit	Format Display Unit...	False
ChartFormatDownBars	Format Down Bars...	False
ChartFormatDropLines	Format Drop Lines...	False
ChartFormatErrorBars	Format Error Bars...	False
ChartFormatFloor	Format Floor...	False
ChartFormatGridlines	Format Gridlines...	False
ChartFormatHighLowLine	Format High-Low Lines...	False
ChartFormatLeaderLines	Format Leader Lines...	False
ChartFormatLegend	Format Legend...	False
ChartFormatLegendEntry	Format Legend Entry...	False
ChartFormatMajorGridlinesAndSelect	Format Major Gridlines...	False
ChartFormatMinorGridlinesAndSelect	Format Minor Gridlines...	False
ChartFormatParetoLine	Format Pareto Line...	True
ChartFormatPlotArea	Format Plot Area...	False
ChartFormatSelection	Format Selection	False
